formName,varName,varDescription,answerCode,answerDescription,answerType
FULLSURVEY,covid_dxloc___5,COVID-19 Diagnosis: Location,1, Hospital or other inpatient facility ,checkbox
FULLSURVEY,covid_dxloc___ 3,COVID-19 Diagnosis: Location,1, Outpatient facility ,checkbox
FULLSURVEY,covid_dxloc___ 4,COVID-19 Diagnosis: Location,1, Emergency department ,checkbox
FULLSURVEY,covid_dxloc___ 1,COVID-19 Diagnosis: Location,1, Home or mobile/drive-through (standalone) testing ,checkbox
FULLSURVEY,covid_dxloc___ 6,COVID-19 Diagnosis: Location,1, Other ,checkbox
FULLSURVEY,covid_dxloc___ 7,COVID-19 Diagnosis: Location,1, Unknown  ,checkbox
FULLSURVEY,TSPRES,What is the basis for diagnosis of COVID-19 illness?,1, Presumptive diagnosis based on signs and symptoms only ,radio
FULLSURVEY,TSPRES,What is the basis for diagnosis of COVID-19 illness?,2, Probable or confirmatory testing,radio
FULLSURVEY,TSPRES,What is the basis for diagnosis of COVID-19 illness?,99, Unsure  ,radio
FULLSURVEY,TESTSPY,,,[],notes
FULLSURVEY,TESTSPY,,,[TESTSPY],notes
FULLSURVEY,TSRADIOIM___1,,1, CT scan (conventional) ,checkbox
FULLSURVEY,TSRADIOIM___ 2,,1, High-resolution CT scan ,checkbox
FULLSURVEY,TSRADIOIM___ 3,,1, CT-PET scan ,checkbox
FULLSURVEY,TSRADIOIM___ 4,,1, MRI ,checkbox
FULLSURVEY,TSRADIOIM___ 5,,1, Nuclear scan ,checkbox
FULLSURVEY,TSRADIOIM___ 6,,1, Plain radiographs (X-rays) ,checkbox
FULLSURVEY,TSRADIOIM___ 7,,1, Ultrasound ,checkbox
FULLSURVEY,TSRADIOIM___ 98,,1, Other imaging  ,checkbox
FULLSURVEY,TSLAB_CONF___1,,1, PCR testing ,checkbox
FULLSURVEY,TSLAB_CONF___ 2,,1, Metagenomic testing ,checkbox
FULLSURVEY,TSLAB_CONF___ 3,,1, Antibody testing ,checkbox
FULLSURVEY,TSLAB_CONF___ 98,,1, Other laboratory testing  ,checkbox
FULLSURVEY,TSLAB_PROB___1,,1, PCR testing ,checkbox
FULLSURVEY,TSLAB_PROB___ 2,,1, Metagenomic testing ,checkbox
FULLSURVEY,TSLAB_PROB___ 3,,1, Antibody testing ,checkbox
FULLSURVEY,TSLAB_PROB___ 98,,1, Other laboratory testing  ,checkbox
FULLSURVEY,COVIDLABSPY,"Specify other COVID-19 diagnostic laboratory results. Please indicate if results are confirmed or probable, if this is known.",,"[Specify other COVID-19 diagnostic laboratory results. Please indicate if results are confirmed or probable, if this is known.]",notes
FULLSURVEY,RADIOIMSPY,Specify other COVID-19 diagnostic imaging,,[Specify other COVID-19 diagnostic imaging],notes
FULLSURVEY,covid_features___1,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Fever,checkbox
FULLSURVEY,covid_features___ 4,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Cough (productive or nonproductive) ,checkbox
FULLSURVEY,covid_features___ 24,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Hemoptysis ,checkbox
FULLSURVEY,covid_features___ 3,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Sore throat/pharyngitis ,checkbox
FULLSURVEY,covid_features___ 11,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Runny nose/rhinorrhea ,checkbox
FULLSURVEY,covid_features___ 18,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Conjunctivitis ,checkbox
FULLSURVEY,covid_features___ 16,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Ear pain ,checkbox
FULLSURVEY,covid_features___ 14,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Anosmia or hyposmia (loss or significant diminution of smell) ,checkbox
FULLSURVEY,covid_features___ 15,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Dysgeusia or hypogeusia (loss or significant diminution of taste) ,checkbox
FULLSURVEY,covid_features___ 17,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Wheezing ,checkbox
FULLSURVEY,covid_features___ 5,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Shortness of breath/dyspnea ,checkbox
FULLSURVEY,covid_features___ 7,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Muscle aches/myalgia ,checkbox
FULLSURVEY,covid_features___ 6,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Joint pain/arthralgia ,checkbox
FULLSURVEY,covid_features___ 8,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Chest pain ,checkbox
FULLSURVEY,covid_features___ 13,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Fatigue and/or malaise ,checkbox
FULLSURVEY,covid_features___ 2,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Headache ,checkbox
FULLSURVEY,covid_features___ 12,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Altered mental status,checkbox
FULLSURVEY,covid_features___ 19,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Seizures ,checkbox
FULLSURVEY,covid_features___ 9,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Abdominal pain ,checkbox
FULLSURVEY,covid_features___ 21,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Vomiting ,checkbox
FULLSURVEY,covid_features___ 20,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Diarrhea ,checkbox
FULLSURVEY,covid_features___ 22,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Skin rash ,checkbox
FULLSURVEY,covid_features___ 23,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Skin ulceration ,checkbox
FULLSURVEY,covid_features___ 25,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Lymphadenopathy ,checkbox
FULLSURVEY,covid_features___ 98,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Other ,checkbox
FULLSURVEY,covid_features___ 99,Clinical signs and/or symptoms during COVID-19 illness(leave unchecked for 'None'),1, Unknown  ,checkbox
FULLSURVEY,covid_features_other,Specify other clinical signs and/or symptoms:,,[Specify other clinical signs and/or symptoms:],notes
FULLSURVEY,HIDEMSG_STATUS,HIDEMSG_STATUS,,[HIDEMSG_STATUS],calc
FULLSURVEY,ASYM_COVTR_DES,"Based upon the subject's severity level that you have reported, this section can be skipped. Please click 'Next' to proceed.",,Header Section,descriptive
FULLSURVEY,TREAT,Did the patient receive any treatment for COVID-19 illness?,1, Yes ,radio
FULLSURVEY,TREAT,Did the patient receive any treatment for COVID-19 illness?,0, No ,radio
FULLSURVEY,TREAT,Did the patient receive any treatment for COVID-19 illness?,99, Unsure  ,radio
FULLSURVEY,RECTREAT___1,In which settings did the patient receive treatment for COVID-19 illness:,1, At home ,checkbox
FULLSURVEY,RECTREAT___ 2,In which settings did the patient receive treatment for COVID-19 illness:,1, Ambulatory (e.g. in clinic,checkbox
FULLSURVEY,RECTREAT___ 3,In which settings did the patient receive treatment for COVID-19 illness:,1, Hospital (e.g. observation stay,checkbox
FULLSURVEY,RECTREAT___ 99,In which settings did the patient receive treatment for COVID-19 illness:,1, Unknown  ,checkbox
FULLSURVEY,MEDTREAT,Did the patient receive any medications for treatment of COVID-19 illness?,1, Yes ,radio
FULLSURVEY,MEDTREAT,Did the patient receive any medications for treatment of COVID-19 illness?,0, No ,radio
FULLSURVEY,MEDTREAT,Did the patient receive any medications for treatment of COVID-19 illness?,99, Unknown  ,radio
FULLSURVEY,covid_treat___1,Medications given for COVID-19 illness: (Only include medications given as treatment for this infection. Treatments for underlying rheumatic/autoimmune disease are collected in the next section). (Check all that apply),1, Remdesivir ,checkbox
FULLSURVEY,covid_treat___ 2,Medications given for COVID-19 illness: (Only include medications given as treatment for this infection. Treatments for underlying rheumatic/autoimmune disease are collected in the next section). (Check all that apply),1, Lopinavir/ritonavir ,checkbox
FULLSURVEY,covid_treat___ 3,Medications given for COVID-19 illness: (Only include medications given as treatment for this infection. Treatments for underlying rheumatic/autoimmune disease are collected in the next section). (Check all that apply),1, Anti-malarials (e.g. chloroquine,checkbox
FULLSURVEY,covid_treat___ 11,Medications given for COVID-19 illness: (Only include medications given as treatment for this infection. Treatments for underlying rheumatic/autoimmune disease are collected in the next section). (Check all that apply),1, IL-1 inhibitors (e.g. anakinra,checkbox
FULLSURVEY,covid_treat___ 4,Medications given for COVID-19 illness: (Only include medications given as treatment for this infection. Treatments for underlying rheumatic/autoimmune disease are collected in the next section). (Check all that apply),1, IL-6 inhibitors (e.g. tocilizumab,checkbox
FULLSURVEY,covid_treat___ 5,Medications given for COVID-19 illness: (Only include medications given as treatment for this infection. Treatments for underlying rheumatic/autoimmune disease are collected in the next section). (Check all that apply),1, Bevacizumab ,checkbox
FULLSURVEY,covid_treat___ 6,Medications given for COVID-19 illness: (Only include medications given as treatment for this infection. Treatments for underlying rheumatic/autoimmune disease are collected in the next section). (Check all that apply),1, JAK inhibitors (e.g. tofacitinib,checkbox
FULLSURVEY,covid_treat___ 7,Medications given for COVID-19 illness: (Only include medications given as treatment for this infection. Treatments for underlying rheumatic/autoimmune disease are collected in the next section). (Check all that apply),1, Serpin inhibitors ,checkbox
FULLSURVEY,covid_treat___ 8,Medications given for COVID-19 illness: (Only include medications given as treatment for this infection. Treatments for underlying rheumatic/autoimmune disease are collected in the next section). (Check all that apply),1, Ciclesonide ,checkbox
FULLSURVEY,covid_treat___ 9,Medications given for COVID-19 illness: (Only include medications given as treatment for this infection. Treatments for underlying rheumatic/autoimmune disease are collected in the next section). (Check all that apply),1, Glucocorticoids ,checkbox
FULLSURVEY,covid_treat___ 12,Medications given for COVID-19 illness: (Only include medications given as treatment for this infection. Treatments for underlying rheumatic/autoimmune disease are collected in the next section). (Check all that apply),1, IVIG (intravenous immunoglobulin,checkbox
FULLSURVEY,covid_treat___ 21,Medications given for COVID-19 illness: (Only include medications given as treatment for this infection. Treatments for underlying rheumatic/autoimmune disease are collected in the next section). (Check all that apply),1, Favipiravir ,checkbox
FULLSURVEY,covid_treat___ 22,Medications given for COVID-19 illness: (Only include medications given as treatment for this infection. Treatments for underlying rheumatic/autoimmune disease are collected in the next section). (Check all that apply),1, Oseltamivir ,checkbox
FULLSURVEY,covid_treat___ 23,Medications given for COVID-19 illness: (Only include medications given as treatment for this infection. Treatments for underlying rheumatic/autoimmune disease are collected in the next section). (Check all that apply),1, Azithromycin ,checkbox
FULLSURVEY,covid_treat___ 10,Medications given for COVID-19 illness: (Only include medications given as treatment for this infection. Treatments for underlying rheumatic/autoimmune disease are collected in the next section). (Check all that apply),1, Plasma from recovered patients ,checkbox
FULLSURVEY,covid_treat___ 98,Medications given for COVID-19 illness: (Only include medications given as treatment for this infection. Treatments for underlying rheumatic/autoimmune disease are collected in the next section). (Check all that apply),1, Other  ,checkbox
FULLSURVEY,covid_treat_notes,Additional information regarding COVID-19 medication treatment:Please DO NOT include any patient or family names or other direct identifiers (may include dates).,,[Additional information regarding COVID-19 medication treatment:Please DO NOT include any patient or family names or other direct identifiers (may include dates).],notes
FULLSURVEY,HOSTYPE,Hospitalization type,1, Prolonged ED stay ,select
FULLSURVEY,HOSTYPE,Hospitalization type,2, Regular care hospital ward or department ,select
FULLSURVEY,HOSTYPE,Hospitalization type,3, Intensive care unit (ICU) ,select
FULLSURVEY,HOSTYPE,Hospitalization type,4, Rehabilitation or convalescent care hospital  ,select
FULLSURVEY,HOSPSTDT,Start Date,,[Start Date],Date Box
FULLSURVEY,HOSPSPDT,End Date,,[End Date],Date Box
FULLSURVEY,HOSPROC___1,Please indicate if the patient received any of the following medical treatments or procedures:,1, Supplemental oxygen ,checkbox
FULLSURVEY,HOSPROC___ 2,Please indicate if the patient received any of the following medical treatments or procedures:,1, Non-invasive ventilation (e.g. CPAP,checkbox
FULLSURVEY,HOSPROC___ 3,Please indicate if the patient received any of the following medical treatments or procedures:,1, Mechanical ventilation ,checkbox
FULLSURVEY,HOSPROC___ 4,Please indicate if the patient received any of the following medical treatments or procedures:,1, Chest tubes ,checkbox
FULLSURVEY,HOSPROC___ 5,Please indicate if the patient received any of the following medical treatments or procedures:,1, Central lines ,checkbox
FULLSURVEY,HOSPROC___ 6,Please indicate if the patient received any of the following medical treatments or procedures:,1, ECMO ,checkbox
FULLSURVEY,HOSPROC___ 7,Please indicate if the patient received any of the following medical treatments or procedures:,1, Dialysis ,checkbox
FULLSURVEY,HOSPROC___ 8,Please indicate if the patient received any of the following medical treatments or procedures:,1, Plasma exchange ,checkbox
FULLSURVEY,HOSPROC___ 9,Please indicate if the patient received any of the following medical treatments or procedures:,1, RBC transfusions or other blood products ,checkbox
FULLSURVEY,HOSPROC___ 98,Please indicate if the patient received any of the following medical treatments or procedures:,1, Other significant or invasive treatments of procedures  ,checkbox
FULLSURVEY,DOCSNOTE,Other treatment notes:Please DO NOT include any patient names or other direct identifiers (may include dates).,,[Other treatment notes:Please DO NOT include any patient names or other direct identifiers (may include dates).],notes
FULLSURVEY,PRIMDISE___1,Primary rheumatic/autoimmune diagnosis(es),1, Juvenile Idiopathic Arthritis ,checkbox
FULLSURVEY,PRIMDISE___ 2,Primary rheumatic/autoimmune diagnosis(es),1, Rheumatoid Arthritis ,checkbox
FULLSURVEY,PRIMDISE___ 3,Primary rheumatic/autoimmune diagnosis(es),1, Systemic Lupus Erythematosus (SLE) or Mixed Connective Tissue Disease (MCTD) ,checkbox
FULLSURVEY,PRIMDISE___ 4,Primary rheumatic/autoimmune diagnosis(es),1, Juvenile Inflammatory Myopathies,checkbox
FULLSURVEY,PRIMDISE___ 5,Primary rheumatic/autoimmune diagnosis(es),1, Anti-phospholipid antibody syndrome ,checkbox
FULLSURVEY,PRIMDISE___ 6,Primary rheumatic/autoimmune diagnosis(es),1, Autoimmune brain disease,checkbox
FULLSURVEY,PRIMDISE___ 7,Primary rheumatic/autoimmune diagnosis(es),1, Autoimmune eye disease (Primary,checkbox
FULLSURVEY,PRIMDISE___ 8,Primary rheumatic/autoimmune diagnosis(es),1, Behcet's disease ,checkbox
FULLSURVEY,PRIMDISE___ 9,Primary rheumatic/autoimmune diagnosis(es),1, Chronic nonbacterial osteomyelitis (CNO) / Chronic recurring multifocal osteomyelitis (CRMO) ,checkbox
FULLSURVEY,PRIMDISE___ 17,Primary rheumatic/autoimmune diagnosis(es),1, Genetic vasculopathies,checkbox
FULLSURVEY,PRIMDISE___ 10,Primary rheumatic/autoimmune diagnosis(es),1, IgG4-related disease ,checkbox
FULLSURVEY,PRIMDISE___ 21,Primary rheumatic/autoimmune diagnosis(es),1, Inflammatory bowel disease,checkbox
FULLSURVEY,PRIMDISE___ 15,Primary rheumatic/autoimmune diagnosis(es),1, Localized Scleroderma ,checkbox
FULLSURVEY,PRIMDISE___ 11,Primary rheumatic/autoimmune diagnosis(es),1, Periodic fever syndromes and autoinflammatory diseases,checkbox
FULLSURVEY,PRIMDISE___ 12,Primary rheumatic/autoimmune diagnosis(es),1, Primary Immune Deficiency syndromes with rheumatic/autoimmune manifestations,checkbox
FULLSURVEY,PRIMDISE___ 13,Primary rheumatic/autoimmune diagnosis(es),1, Primary Sjogren's syndrome ,checkbox
FULLSURVEY,PRIMDISE___ 14,Primary rheumatic/autoimmune diagnosis(es),1, Sarcoidosis ,checkbox
FULLSURVEY,PRIMDISE___ 20,Primary rheumatic/autoimmune diagnosis(es),1, Systemic sclerosis ,checkbox
FULLSURVEY,PRIMDISE___ 16,Primary rheumatic/autoimmune diagnosis(es),1, Vasculitis,checkbox
FULLSURVEY,PRIMDISE___ 18,Primary rheumatic/autoimmune diagnosis(es),1, Overlap or undifferentiated rheumatic connective tissue diseases ,checkbox
FULLSURVEY,PRIMDISE___ 98,Primary rheumatic/autoimmune diagnosis(es),1, Other  ,checkbox
FULLSURVEY,PRIMDISE_SPY,Specify: other primary rheumatic/autoimmune diagnosis,,[Specify: other primary rheumatic/autoimmune diagnosis],text
FULLSURVEY,JIACAT,Which subtype of JIA does the patient have?,1, Systemic arthritis ,radio
FULLSURVEY,JIACAT,Which subtype of JIA does the patient have?,2, Oligoarticular JIA ,radio
FULLSURVEY,JIACAT,Which subtype of JIA does the patient have?,3, Polyarticular JIA ,radio
FULLSURVEY,JIACAT,Which subtype of JIA does the patient have?,5, Psoriatic arthritis ,radio
FULLSURVEY,JIACAT,Which subtype of JIA does the patient have?,6, Enthesitis related arthritis ,radio
FULLSURVEY,JIACAT,Which subtype of JIA does the patient have?,7, Undifferentiated arthritis ,radio
FULLSURVEY,JIACAT,Which subtype of JIA does the patient have?,99, Unsure  ,radio
FULLSURVEY,RFFACTOR,RF positive (or CCP positive) Polyarticular JIA?,1, Yes ,radio
FULLSURVEY,RFFACTOR,RF positive (or CCP positive) Polyarticular JIA?,0, No ,radio
FULLSURVEY,RFFACTOR,RF positive (or CCP positive) Polyarticular JIA?,99, Unsure  ,radio
FULLSURVEY,SJIALD___1,Please indicate if the patient has experienced sJIA-associated lung disease:,1, Interstitial lung disease (ILD) ,checkbox
FULLSURVEY,SJIALD___ 2,Please indicate if the patient has experienced sJIA-associated lung disease:,1, Pulmonary alveolar proteinosis (PAP) ,checkbox
FULLSURVEY,SJIALD___ 3,Please indicate if the patient has experienced sJIA-associated lung disease:,1, Pulmonary arterial hypertensionâ€© (PAH) ,checkbox
FULLSURVEY,SJIALD___ 98,Please indicate if the patient has experienced sJIA-associated lung disease:,1, Other ,checkbox
FULLSURVEY,SJIALD___ 99,Please indicate if the patient has experienced sJIA-associated lung disease:,1, Unsure  ,checkbox
FULLSURVEY,SJIALDOTH_SPY,Specify other sJIA lung disease,,[Specify other sJIA lung disease],text
FULLSURVEY,OCULAR,Does the patient have a history of any autoimmune ocular involvement?,1, Yes ,radio
FULLSURVEY,OCULAR,Does the patient have a history of any autoimmune ocular involvement?,0, No ,radio
